0, 100, 42602.3262616, 41084.497508, 41909.1637049, 41886.6331449, 281.446166543
1, 100, 42180.6450234, 41287.3630053, 41744.0528603, 41721.9718102, 206.187394745
2, 100, 41940.9102456, 41283.5351127, 41625.8988607, 41610.9662593, 155.815099339
3, 100, 41767.2580664, 41283.5351127, 41536.8138392, 41537.0968979, 130.160768298
4, 100, 41680.2844496, 41283.5351127, 41475.5661258, 41456.2161106, 95.758886256
5, 100, 41612.2655663, 41283.52192, 41393.573077, 41396.6821698, 84.5943967768
6, 100, 41528.3237611, 41279.0043001, 41361.42522, 41354.6761923, 71.3443961156
7, 100, 41475.5867136, 41271.4722956, 41288.3248371, 41315.9049002, 48.3928884256
8, 100, 41385.5482808, 41257.9963208, 41284.9051021, 41293.4612253, 25.4694643849
9, 100, 41378.6836078, 41257.9963208, 41283.6267577, 41284.8016066, 12.3670492814
10, 100, 41303.9107519, 41257.9963208, 41282.942743, 41280.0328497, 7.36646757202
11, 100, 41304.7950167, 41247.3755368, 41276.9208989, 41275.9055069, 8.95509429867
12, 100, 41295.8091704, 41249.5565758, 41272.3983986, 41271.2748981, 9.44619535348
13, 100, 41286.8412238, 41241.1389099, 41266.9105418, 41266.6958159, 9.43400171525
14, 100, 41278.8305211, 41235.5139704, 41260.7184341, 41260.2080309, 9.29952949384
15, 100, 41280.0714152, 41233.4159123, 41256.1336512, 41254.7868387, 8.69025689016
16, 100, 41275.0458595, 41227.0662913, 41248.5688133, 41249.6147655, 8.66014174527
17, 100, 41276.7752494, 41224.2145601, 41246.7410521, 41246.1788192, 9.078863674
18, 100, 41263.8542525, 41214.2849355, 41243.1734399, 41242.0072382, 8.93957557997
19, 100, 41254.7204001, 41214.0238005, 41237.9847054, 41236.9238011, 8.40347578105
